test_case_id,provider,instrument,input_system,O,C,E,A,N,profile_label,total_score,factor_scores,questions_answered,questions_total
5823,claude,bfi,behavioral,50,75,0,75,50,high_A_high_C_low_E,55.83,"{""extraversion"": 9.375, ""agreeableness"": 80.55555555555556, ""conscientiousness"": 86.11111111111111, ""neuroticism"": 53.125, ""openness"": 50.0}",44,44
5804,deepseek,bfi,behavioral,50,75,0,75,50,high_A_high_C_low_E,53.72,"{""extraversion"": 12.5, ""agreeableness"": 77.77777777777777, ""conscientiousness"": 83.33333333333333, ""neuroticism"": 50.0, ""openness"": 44.99999999999999}",44,44
5861,gemini,bfi,behavioral,50,75,0,75,50,high_A_high_C_low_E,58.64,"{""extraversion"": 12.5, ""agreeableness"": 86.11111111111111, ""conscientiousness"": 83.33333333333333, ""neuroticism"": 56.25, ""openness"": 55.00000000000001}",44,44
5842,openai,bfi,behavioral,50,75,0,75,50,high_A_high_C_low_E,58.65,"{""extraversion"": 9.375, ""agreeableness"": 94.44444444444444, ""conscientiousness"": 94.44444444444444, ""neuroticism"": 50.0, ""openness"": 44.99999999999999}",44,44
5826,claude,bfi,behavioral,50,100,100,75,50,high_A_max_C_high_E,76.47,"{""extraversion"": 96.875, ""agreeableness"": 88.88888888888889, ""conscientiousness"": 97.22222222222223, ""neuroticism"": 46.875, ""openness"": 52.5}",44,44
5807,deepseek,bfi,behavioral,50,100,100,75,50,high_A_max_C_high_E,75.49,"{""extraversion"": 100.0, ""agreeableness"": 83.33333333333333, ""conscientiousness"": 97.22222222222223, ""neuroticism"": 46.875, ""openness"": 50.0}",44,44
5864,gemini,bfi,behavioral,50,100,100,75,50,high_A_max_C_high_E,78.17,"{""extraversion"": 96.875, ""agreeableness"": 86.11111111111111, ""conscientiousness"": 97.22222222222223, ""neuroticism"": 53.125, ""openness"": 57.49999999999999}",44,44
5845,openai,bfi,behavioral,50,100,100,75,50,high_A_max_C_high_E,76.57,"{""extraversion"": 100.0, ""agreeableness"": 97.22222222222223, ""conscientiousness"": 100.0, ""neuroticism"": 40.625, ""openness"": 44.99999999999999}",44,44
5825,claude,bfi,behavioral,50,100,0,75,50,high_A_max_C_low_E,57.43,"{""extraversion"": 9.375, ""agreeableness"": 80.55555555555556, ""conscientiousness"": 97.22222222222223, ""neuroticism"": 50.0, ""openness"": 50.0}",44,44
5806,deepseek,bfi,behavioral,50,100,0,75,50,high_A_max_C_low_E,55.94,"{""extraversion"": 12.5, ""agreeableness"": 75.0, ""conscientiousness"": 97.22222222222223, ""neuroticism"": 50.0, ""openness"": 44.99999999999999}",44,44
5863,gemini,bfi,behavioral,50,100,0,75,50,high_A_max_C_low_E,60.24,"{""extraversion"": 15.625, ""agreeableness"": 83.33333333333333, ""conscientiousness"": 97.22222222222223, ""neuroticism"": 50.0, ""openness"": 55.00000000000001}",44,44
5844,openai,bfi,behavioral,50,100,0,75,50,high_A_max_C_low_E,57.28,"{""extraversion"": 9.375, ""agreeableness"": 88.88888888888889, ""conscientiousness"": 100.0, ""neuroticism"": 40.625, ""openness"": 47.5}",44,44
5816,claude,bfi,behavioral,50,0,100,0,50,low_A_low_C_high_E,42.78,"{""extraversion"": 100.0, ""agreeableness"": 8.333333333333332, ""conscientiousness"": 5.555555555555558, ""neuroticism"": 50.0, ""openness"": 50.0}",44,44
5797,deepseek,bfi,behavioral,50,0,100,0,50,low_A_low_C_high_E,42.57,"{""extraversion"": 100.0, ""agreeableness"": 11.11111111111111, ""conscientiousness"": 11.11111111111111, ""neuroticism"": 53.125, ""openness"": 37.5}",44,44
5854,gemini,bfi,behavioral,50,0,100,0,50,low_A_low_C_high_E,43.74,"{""extraversion"": 100.0, ""agreeableness"": 2.777777777777779, ""conscientiousness"": 2.777777777777779, ""neuroticism"": 53.125, ""openness"": 60.0}",44,44
5835,openai,bfi,behavioral,50,0,100,0,50,low_A_low_C_high_E,41.17,"{""extraversion"": 100.0, ""agreeableness"": 2.777777777777779, ""conscientiousness"": 5.555555555555558, ""neuroticism"": 50.0, ""openness"": 47.5}",44,44
5815,claude,bfi,behavioral,50,0,0,0,50,low_A_low_C_low_E,28.28,"{""extraversion"": 21.875, ""agreeableness"": 8.333333333333332, ""conscientiousness"": 5.555555555555558, ""neuroticism"": 53.125, ""openness"": 52.5}",44,44
5796,deepseek,bfi,behavioral,50,0,0,0,50,low_A_low_C_low_E,24.28,"{""extraversion"": 25.0, ""agreeableness"": 2.777777777777779, ""conscientiousness"": 11.11111111111111, ""neuroticism"": 50.0, ""openness"": 32.49999999999999}",44,44
5853,gemini,bfi,behavioral,50,0,0,0,50,low_A_low_C_low_E,23.31,"{""extraversion"": 12.5, ""agreeableness"": 0.0, ""conscientiousness"": 2.777777777777779, ""neuroticism"": 56.25, ""openness"": 44.99999999999999}",44,44
5834,openai,bfi,behavioral,50,0,0,0,50,low_A_low_C_low_E,24.24,"{""extraversion"": 15.625, ""agreeableness"": 0.0, ""conscientiousness"": 5.555555555555558, ""neuroticism"": 50.0, ""openness"": 50.0}",44,44
5818,claude,bfi,behavioral,50,25,100,0,50,low_A_medlow_C_high_E,47.1,"{""extraversion"": 100.0, ""agreeableness"": 5.555555555555558, ""conscientiousness"": 30.555555555555557, ""neuroticism"": 46.875, ""openness"": 52.5}",44,44
5799,deepseek,bfi,behavioral,50,25,100,0,50,low_A_medlow_C_high_E,48.99,"{""extraversion"": 96.875, ""agreeableness"": 16.666666666666668, ""conscientiousness"": 38.888888888888886, ""neuroticism"": 50.0, ""openness"": 42.50000000000001}",44,44
5856,gemini,bfi,behavioral,50,25,100,0,50,low_A_medlow_C_high_E,48.24,"{""extraversion"": 100.0, ""agreeableness"": 0.0, ""conscientiousness"": 30.555555555555557, ""neuroticism"": 53.125, ""openness"": 57.49999999999999}",44,44
5837,openai,bfi,behavioral,50,25,100,0,50,low_A_medlow_C_high_E,46.54,"{""extraversion"": 100.0, ""agreeableness"": 2.777777777777779, ""conscientiousness"": 30.555555555555557, ""neuroticism"": 46.875, ""openness"": 52.5}",44,44
5817,claude,bfi,behavioral,50,25,0,0,50,low_A_medlow_C_low_E,34.03,"{""extraversion"": 28.125, ""agreeableness"": 11.11111111111111, ""conscientiousness"": 27.77777777777778, ""neuroticism"": 53.125, ""openness"": 50.0}",44,44
5798,deepseek,bfi,behavioral,50,25,0,0,50,low_A_medlow_C_low_E,34.75,"{""extraversion"": 31.25, ""agreeableness"": 13.88888888888889, ""conscientiousness"": 36.111111111111114, ""neuroticism"": 50.0, ""openness"": 42.50000000000001}",44,44
5855,gemini,bfi,behavioral,50,25,0,0,50,low_A_medlow_C_low_E,30.97,"{""extraversion"": 15.625, ""agreeableness"": 0.0, ""conscientiousness"": 36.111111111111114, ""neuroticism"": 53.125, ""openness"": 50.0}",44,44
5836,openai,bfi,behavioral,50,25,0,0,50,low_A_medlow_C_low_E,30.96,"{""extraversion"": 18.75, ""agreeableness"": 2.777777777777779, ""conscientiousness"": 38.888888888888886, ""neuroticism"": 46.875, ""openness"": 47.5}",44,44
5828,claude,bfi,behavioral,50,75,100,100,50,max_A_high_C_high_E,76.83,"{""extraversion"": 90.625, ""agreeableness"": 100.0, ""conscientiousness"": 91.66666666666667, ""neuroticism"": 46.875, ""openness"": 55.00000000000001}",44,44
5809,deepseek,bfi,behavioral,50,75,100,100,50,max_A_high_C_high_E,77.01,"{""extraversion"": 90.625, ""agreeableness"": 100.0, ""conscientiousness"": 94.44444444444444, ""neuroticism"": 50.0, ""openness"": 50.0}",44,44
5866,gemini,bfi,behavioral,50,75,100,100,50,max_A_high_C_high_E,75.81,"{""extraversion"": 93.75, ""agreeableness"": 94.44444444444444, ""conscientiousness"": 83.33333333333333, ""neuroticism"": 50.0, ""openness"": 57.49999999999999}",44,44
5847,openai,bfi,behavioral,50,75,100,100,50,max_A_high_C_high_E,76.51,"{""extraversion"": 93.75, ""agreeableness"": 100.0, ""conscientiousness"": 94.44444444444444, ""neuroticism"": 46.875, ""openness"": 47.5}",44,44
5808,deepseek,bfi,behavioral,50,75,0,100,50,max_A_high_C_low_E,58.04,"{""extraversion"": 9.375, ""agreeableness"": 97.22222222222223, ""conscientiousness"": 86.11111111111111, ""neuroticism"": 50.0, ""openness"": 47.5}",44,44
5865,gemini,bfi,behavioral,50,75,0,100,50,max_A_high_C_low_E,59.06,"{""extraversion"": 6.25, ""agreeableness"": 91.66666666666667, ""conscientiousness"": 86.11111111111111, ""neuroticism"": 56.25, ""openness"": 55.00000000000001}",44,44
5846,openai,bfi,behavioral,50,75,0,100,50,max_A_high_C_low_E,58.58,"{""extraversion"": 9.375, ""agreeableness"": 97.22222222222223, ""conscientiousness"": 94.44444444444444, ""neuroticism"": 46.875, ""openness"": 44.99999999999999}",44,44
5830,claude,bfi,behavioral,50,100,100,100,50,max_A_max_C_high_E,76.44,"{""extraversion"": 90.625, ""agreeableness"": 100.0, ""conscientiousness"": 97.22222222222223, ""neuroticism"": 46.875, ""openness"": 47.5}",44,44
5811,deepseek,bfi,behavioral,50,100,100,100,50,max_A_max_C_high_E,79.32,"{""extraversion"": 96.875, ""agreeableness"": 100.0, ""conscientiousness"": 97.22222222222223, ""neuroticism"": 50.0, ""openness"": 52.5}",44,44
5868,gemini,bfi,behavioral,50,100,100,100,50,max_A_max_C_high_E,79.83,"{""extraversion"": 96.875, ""agreeableness"": 94.44444444444444, ""conscientiousness"": 97.22222222222223, ""neuroticism"": 53.125, ""openness"": 57.49999999999999}",44,44
5849,openai,bfi,behavioral,50,100,100,100,50,max_A_max_C_high_E,77.63,"{""extraversion"": 96.875, ""agreeableness"": 100.0, ""conscientiousness"": 100.0, ""neuroticism"": 43.75, ""openness"": 47.5}",44,44
5829,claude,bfi,behavioral,50,100,0,100,50,max_A_max_C_low_E,58.53,"{""extraversion"": 6.25, ""agreeableness"": 91.66666666666667, ""conscientiousness"": 97.22222222222223, ""neuroticism"": 50.0, ""openness"": 47.5}",44,44
5810,deepseek,bfi,behavioral,50,100,0,100,50,max_A_max_C_low_E,60.32,"{""extraversion"": 9.375, ""agreeableness"": 97.22222222222223, ""conscientiousness"": 100.0, ""neuroticism"": 50.0, ""openness"": 44.99999999999999}",44,44
5867,gemini,bfi,behavioral,50,100,0,100,50,max_A_max_C_low_E,63.83,"{""extraversion"": 15.625, ""agreeableness"": 91.66666666666667, ""conscientiousness"": 100.0, ""neuroticism"": 59.375, ""openness"": 52.5}",44,44
5848,openai,bfi,behavioral,50,100,0,100,50,max_A_max_C_low_E,59.07,"{""extraversion"": 6.25, ""agreeableness"": 97.22222222222223, ""conscientiousness"": 100.0, ""neuroticism"": 46.875, ""openness"": 44.99999999999999}",44,44
5820,claude,bfi,behavioral,50,0,100,25,50,medlow_A_low_C_high_E,52.17,"{""extraversion"": 100.0, ""agreeableness"": 47.22222222222222, ""conscientiousness"": 11.11111111111111, ""neuroticism"": 50.0, ""openness"": 52.5}",44,44
5801,deepseek,bfi,behavioral,50,0,100,25,50,medlow_A_low_C_high_E,51.64,"{""extraversion"": 93.75, ""agreeableness"": 47.22222222222222, ""conscientiousness"": 22.22222222222222, ""neuroticism"": 50.0, ""openness"": 44.99999999999999}",44,44
5858,gemini,bfi,behavioral,50,0,100,25,50,medlow_A_low_C_high_E,50.26,"{""extraversion"": 90.625, ""agreeableness"": 36.111111111111114, ""conscientiousness"": 8.333333333333332, ""neuroticism"": 56.25, ""openness"": 60.0}",44,44
5839,openai,bfi,behavioral,50,0,100,25,50,medlow_A_low_C_high_E,49.38,"{""extraversion"": 100.0, ""agreeableness"": 44.44444444444444, ""conscientiousness"": 5.555555555555558, ""neuroticism"": 46.875, ""openness"": 50.0}",44,44
5819,claude,bfi,behavioral,50,0,0,25,50,medlow_A_low_C_low_E,33.13,"{""extraversion"": 12.5, ""agreeableness"": 38.888888888888886, ""conscientiousness"": 11.11111111111111, ""neuroticism"": 53.125, ""openness"": 50.0}",44,44
5800,deepseek,bfi,behavioral,50,0,0,25,50,medlow_A_low_C_low_E,33.28,"{""extraversion"": 12.5, ""agreeableness"": 41.666666666666664, ""conscientiousness"": 22.22222222222222, ""neuroticism"": 50.0, ""openness"": 40.0}",44,44
5857,gemini,bfi,behavioral,50,0,0,25,50,medlow_A_low_C_low_E,30.39,"{""extraversion"": 6.25, ""agreeableness"": 41.666666666666664, ""conscientiousness"": 2.777777777777779, ""neuroticism"": 56.25, ""openness"": 44.99999999999999}",44,44
5838,openai,bfi,behavioral,50,0,0,25,50,medlow_A_low_C_low_E,32.56,"{""extraversion"": 12.5, ""agreeableness"": 41.666666666666664, ""conscientiousness"": 11.11111111111111, ""neuroticism"": 50.0, ""openness"": 47.5}",44,44
5822,claude,bfi,behavioral,50,25,100,25,50,medlow_A_medlow_C_high_E,58.15,"{""extraversion"": 100.0, ""agreeableness"": 47.22222222222222, ""conscientiousness"": 41.666666666666664, ""neuroticism"": 46.875, ""openness"": 55.00000000000001}",44,44
5803,deepseek,bfi,behavioral,50,25,100,25,50,medlow_A_medlow_C_high_E,55.42,"{""extraversion"": 93.75, ""agreeableness"": 47.22222222222222, ""conscientiousness"": 36.111111111111114, ""neuroticism"": 50.0, ""openness"": 50.0}",44,44
5860,gemini,bfi,behavioral,50,25,100,25,50,medlow_A_medlow_C_high_E,56.5,"{""extraversion"": 93.75, ""agreeableness"": 36.111111111111114, ""conscientiousness"": 38.888888888888886, ""neuroticism"": 56.25, ""openness"": 57.49999999999999}",44,44
5841,openai,bfi,behavioral,50,25,100,25,50,medlow_A_medlow_C_high_E,59.94,"{""extraversion"": 100.0, ""agreeableness"": 47.22222222222222, ""conscientiousness"": 50.0, ""neuroticism"": 50.0, ""openness"": 52.5}",44,44
5821,claude,bfi,behavioral,50,25,0,25,50,medlow_A_medlow_C_low_E,40.43,"{""extraversion"": 15.625, ""agreeableness"": 38.888888888888886, ""conscientiousness"": 38.888888888888886, ""neuroticism"": 56.25, ""openness"": 52.5}",44,44
5802,deepseek,bfi,behavioral,50,25,0,25,50,medlow_A_medlow_C_low_E,39.78,"{""extraversion"": 12.5, ""agreeableness"": 44.44444444444444, ""conscientiousness"": 44.44444444444444, ""neuroticism"": 50.0, ""openness"": 47.5}",44,44
5859,gemini,bfi,behavioral,50,25,0,25,50,medlow_A_medlow_C_low_E,42.11,"{""extraversion"": 12.5, ""agreeableness"": 41.666666666666664, ""conscientiousness"": 38.888888888888886, ""neuroticism"": 62.5, ""openness"": 55.00000000000001}",44,44
5840,openai,bfi,behavioral,50,25,0,25,50,medlow_A_medlow_C_low_E,40.76,"{""extraversion"": 9.375, ""agreeableness"": 44.44444444444444, ""conscientiousness"": 50.0, ""neuroticism"": 50.0, ""openness"": 50.0}",44,44
5831,claude,bfi,behavioral,50,50,50,50,50,neutral,58.17,"{""extraversion"": 46.875, ""agreeableness"": 66.66666666666666, ""conscientiousness"": 66.66666666666666, ""neuroticism"": 53.125, ""openness"": 57.49999999999999}",44,44
5812,deepseek,bfi,behavioral,50,50,50,50,50,neutral,52.03,"{""extraversion"": 46.875, ""agreeableness"": 58.333333333333336, ""conscientiousness"": 55.55555555555556, ""neuroticism"": 46.875, ""openness"": 52.5}",44,44
5869,gemini,bfi,behavioral,50,50,50,50,50,neutral,53.22,"{""extraversion"": 43.75, ""agreeableness"": 61.111111111111114, ""conscientiousness"": 50.0, ""neuroticism"": 56.25, ""openness"": 55.00000000000001}",44,44
5850,openai,bfi,behavioral,50,50,50,50,50,neutral,51.04,"{""extraversion"": 50.0, ""agreeableness"": 55.55555555555556, ""conscientiousness"": 52.77777777777778, ""neuroticism"": 46.875, ""openness"": 50.0}",44,44
6593,claude,bfi,exemplar,100,100,100,100,100,all_maximum,90.82,"{""extraversion"": 100.0, ""agreeableness"": 97.22222222222223, ""conscientiousness"": 100.0, ""neuroticism"": 59.375, ""openness"": 97.50000000000001}",44,44
6574,deepseek,bfi,exemplar,100,100,100,100,100,all_maximum,87.75,"{""extraversion"": 100.0, ""agreeableness"": 100.0, ""conscientiousness"": 100.0, ""neuroticism"": 43.75, ""openness"": 95.0}",44,44
6631,gemini,bfi,exemplar,100,100,100,100,100,all_maximum,88.44,"{""extraversion"": 100.0, ""agreeableness"": 100.0, ""conscientiousness"": 97.22222222222223, ""neuroticism"": 50.0, ""openness"": 95.0}",44,44
6612,openai,bfi,exemplar,100,100,100,100,100,all_maximum,88.21,"{""extraversion"": 100.0, ""agreeableness"": 94.44444444444444, ""conscientiousness"": 97.22222222222223, ""neuroticism"": 59.375, ""openness"": 89.99999999999999}",44,44
6592,claude,bfi,exemplar,0,0,0,0,0,all_minimum,30.89,"{""extraversion"": 12.5, ""agreeableness"": 47.22222222222222, ""conscientiousness"": 22.22222222222222, ""neuroticism"": 37.5, ""openness"": 35.0}",44,44
6573,deepseek,bfi,exemplar,0,0,0,0,0,all_minimum,37.9,"{""extraversion"": 15.625, ""agreeableness"": 47.22222222222222, ""conscientiousness"": 41.666666666666664, ""neuroticism"": 37.5, ""openness"": 47.5}",44,44
6630,gemini,bfi,exemplar,0,0,0,0,0,all_minimum,46.25,"{""extraversion"": 31.25, ""agreeableness"": 50.0, ""conscientiousness"": 50.0, ""neuroticism"": 50.0, ""openness"": 50.0}",44,44
6611,openai,bfi,exemplar,0,0,0,0,0,all_minimum,34.33,"{""extraversion"": 6.25, ""agreeableness"": 47.22222222222222, ""conscientiousness"": 44.44444444444444, ""neuroticism"": 31.25, ""openness"": 42.50000000000001}",44,44
6584,claude,bfi,exemplar,50,75,100,75,50,high_A_high_C_high_E,80.39,"{""extraversion"": 100.0, ""agreeableness"": 100.0, ""conscientiousness"": 94.44444444444444, ""neuroticism"": 12.5, ""openness"": 95.0}",44,44
6565,deepseek,bfi,exemplar,50,75,100,75,50,high_A_high_C_high_E,78.83,"{""extraversion"": 100.0, ""agreeableness"": 100.0, ""conscientiousness"": 91.66666666666667, ""neuroticism"": 12.5, ""openness"": 89.99999999999999}",44,44
6622,gemini,bfi,exemplar,50,75,100,75,50,high_A_high_C_high_E,76.35,"{""extraversion"": 100.0, ""agreeableness"": 100.0, ""conscientiousness"": 86.11111111111111, ""neuroticism"": 15.625, ""openness"": 80.0}",44,44
6603,openai,bfi,exemplar,50,75,100,75,50,high_A_high_C_high_E,78.54,"{""extraversion"": 100.0, ""agreeableness"": 100.0, ""conscientiousness"": 83.33333333333333, ""neuroticism"": 21.875, ""openness"": 87.5}",44,44
6583,claude,bfi,exemplar,50,75,0,75,50,high_A_high_C_low_E,68.25,"{""extraversion"": 25.0, ""agreeableness"": 86.11111111111111, ""conscientiousness"": 63.888888888888886, ""neuroticism"": 93.75, ""openness"": 72.5}",44,44
6564,deepseek,bfi,exemplar,50,75,0,75,50,high_A_high_C_low_E,58.6,"{""extraversion"": 34.375, ""agreeableness"": 61.111111111111114, ""conscientiousness"": 50.0, ""neuroticism"": 87.5, ""openness"": 60.0}",44,44
6621,gemini,bfi,exemplar,50,75,0,75,50,high_A_high_C_low_E,65.17,"{""extraversion"": 34.375, ""agreeableness"": 77.77777777777777, ""conscientiousness"": 55.55555555555556, ""neuroticism"": 90.625, ""openness"": 67.5}",44,44
6602,openai,bfi,exemplar,50,75,0,75,50,high_A_high_C_low_E,62.07,"{""extraversion"": 25.0, ""agreeableness"": 72.22222222222221, ""conscientiousness"": 50.0, ""neuroticism"": 90.625, ""openness"": 72.5}",44,44
6586,claude,bfi,exemplar,50,100,100,75,50,high_A_max_C_high_E,72.11,"{""extraversion"": 59.375, ""agreeableness"": 80.55555555555556, ""conscientiousness"": 100.0, ""neuroticism"": 28.125, ""openness"": 92.5}",44,44
6567,deepseek,bfi,exemplar,50,100,100,75,50,high_A_max_C_high_E,68.35,"{""extraversion"": 40.625, ""agreeableness"": 86.11111111111111, ""conscientiousness"": 100.0, ""neuroticism"": 25.0, ""openness"": 89.99999999999999}",44,44
6624,gemini,bfi,exemplar,50,100,100,75,50,high_A_max_C_high_E,67.88,"{""extraversion"": 43.75, ""agreeableness"": 77.77777777777777, ""conscientiousness"": 97.22222222222223, ""neuroticism"": 28.125, ""openness"": 92.5}",44,44
6605,openai,bfi,exemplar,50,100,100,75,50,high_A_max_C_high_E,66.53,"{""extraversion"": 43.75, ""agreeableness"": 88.88888888888889, ""conscientiousness"": 100.0, ""neuroticism"": 12.5, ""openness"": 87.5}",44,44
6585,claude,bfi,exemplar,50,100,0,75,50,high_A_max_C_low_E,68.25,"{""extraversion"": 25.0, ""agreeableness"": 86.11111111111111, ""conscientiousness"": 63.888888888888886, ""neuroticism"": 93.75, ""openness"": 72.5}",44,44
6566,deepseek,bfi,exemplar,50,100,0,75,50,high_A_max_C_low_E,57.97,"{""extraversion"": 31.25, ""agreeableness"": 61.111111111111114, ""conscientiousness"": 50.0, ""neuroticism"": 87.5, ""openness"": 60.0}",44,44
6623,gemini,bfi,exemplar,50,100,0,75,50,high_A_max_C_low_E,65.54,"{""extraversion"": 43.75, ""agreeableness"": 77.77777777777777, ""conscientiousness"": 55.55555555555556, ""neuroticism"": 90.625, ""openness"": 60.0}",44,44
6604,openai,bfi,exemplar,50,100,0,75,50,high_A_max_C_low_E,62.63,"{""extraversion"": 25.0, ""agreeableness"": 72.22222222222221, ""conscientiousness"": 52.77777777777778, ""neuroticism"": 90.625, ""openness"": 72.5}",44,44
6576,claude,bfi,exemplar,50,0,100,0,50,low_A_low_C_high_E,63.06,"{""extraversion"": 87.5, ""agreeableness"": 27.77777777777778, ""conscientiousness"": 100.0, ""neuroticism"": 0.0, ""openness"": 100.0}",44,44
6557,deepseek,bfi,exemplar,50,0,100,0,50,low_A_low_C_high_E,55.35,"{""extraversion"": 65.625, ""agreeableness"": 16.666666666666668, ""conscientiousness"": 94.44444444444444, ""neuroticism"": 0.0, ""openness"": 100.0}",44,44
6614,gemini,bfi,exemplar,50,0,100,0,50,low_A_low_C_high_E,53.13,"{""extraversion"": 46.875, ""agreeableness"": 11.11111111111111, ""conscientiousness"": 88.88888888888889, ""neuroticism"": 18.75, ""openness"": 100.0}",44,44
6595,openai,bfi,exemplar,50,0,100,0,50,low_A_low_C_high_E,56.39,"{""extraversion"": 56.25, ""agreeableness"": 19.444444444444443, ""conscientiousness"": 100.0, ""neuroticism"": 6.25, ""openness"": 100.0}",44,44
6575,claude,bfi,exemplar,50,0,0,0,50,low_A_low_C_low_E,66.39,"{""extraversion"": 75.0, ""agreeableness"": 19.444444444444443, ""conscientiousness"": 100.0, ""neuroticism"": 37.5, ""openness"": 100.0}",44,44
6556,deepseek,bfi,exemplar,50,0,0,0,50,low_A_low_C_low_E,64.1,"{""extraversion"": 56.25, ""agreeableness"": 11.11111111111111, ""conscientiousness"": 100.0, ""neuroticism"": 53.125, ""openness"": 100.0}",44,44
6613,gemini,bfi,exemplar,50,0,0,0,50,low_A_low_C_low_E,58.25,"{""extraversion"": 53.125, ""agreeableness"": 11.11111111111111, ""conscientiousness"": 88.88888888888889, ""neuroticism"": 40.625, ""openness"": 97.50000000000001}",44,44
6594,openai,bfi,exemplar,50,0,0,0,50,low_A_low_C_low_E,63.47,"{""extraversion"": 59.375, ""agreeableness"": 13.88888888888889, ""conscientiousness"": 97.22222222222223, ""neuroticism"": 46.875, ""openness"": 100.0}",44,44
6578,claude,bfi,exemplar,50,25,100,0,50,low_A_medlow_C_high_E,63.06,"{""extraversion"": 87.5, ""agreeableness"": 27.77777777777778, ""conscientiousness"": 100.0, ""neuroticism"": 0.0, ""openness"": 100.0}",44,44
6559,deepseek,bfi,exemplar,50,25,100,0,50,low_A_medlow_C_high_E,55.9,"{""extraversion"": 65.625, ""agreeableness"": 16.666666666666668, ""conscientiousness"": 97.22222222222223, ""neuroticism"": 0.0, ""openness"": 100.0}",44,44
6616,gemini,bfi,exemplar,50,25,100,0,50,low_A_medlow_C_high_E,48.75,"{""extraversion"": 37.5, ""agreeableness"": 11.11111111111111, ""conscientiousness"": 88.88888888888889, ""neuroticism"": 6.25, ""openness"": 100.0}",44,44
6597,openai,bfi,exemplar,50,25,100,0,50,low_A_medlow_C_high_E,55.83,"{""extraversion"": 56.25, ""agreeableness"": 16.666666666666668, ""conscientiousness"": 100.0, ""neuroticism"": 6.25, ""openness"": 100.0}",44,44
6577,claude,bfi,exemplar,50,25,0,0,50,low_A_medlow_C_low_E,67.64,"{""extraversion"": 81.25, ""agreeableness"": 19.444444444444443, ""conscientiousness"": 100.0, ""neuroticism"": 37.5, ""openness"": 100.0}",44,44
6558,deepseek,bfi,exemplar,50,25,0,0,50,low_A_medlow_C_low_E,64.17,"{""extraversion"": 62.5, ""agreeableness"": 11.11111111111111, ""conscientiousness"": 97.22222222222223, ""neuroticism"": 50.0, ""openness"": 100.0}",44,44
6615,gemini,bfi,exemplar,50,25,0,0,50,low_A_medlow_C_low_E,58.25,"{""extraversion"": 53.125, ""agreeableness"": 11.11111111111111, ""conscientiousness"": 88.88888888888889, ""neuroticism"": 40.625, ""openness"": 97.50000000000001}",44,44
