instrument,question_number,factor,question_text,mean_r,sd_r,n_pairs,n_observations
dark_triad,16,narcissism,I have been compared to famous people,0.8161894988426849,0.04430538267593978,6,114
dark_triad,17,narcissism,I am an average person,0.7098632441129955,0.06280663236727149,6,114
dark_triad,18,narcissism,I insist on getting the respect I deserve,0.8013450554522298,0.053964316937266506,6,114
dark_triad,19,psychopathy,I like to get revenge on authorities,0.8720427146041451,0.025536985401320593,6,114
dark_triad,20,psychopathy,I avoid dangerous situations,0.6064882571606267,0.07588755972837306,6,114
dark_triad,21,psychopathy,Payback needs to be quick and nasty,0.8363088667394208,0.04203571673668337,6,114
dark_triad,22,psychopathy,People often say I'm out of control,0.7769651540924901,0.05057367687461355,6,114
dark_triad,23,psychopathy,It's true that I can be mean to others,0.9095709696333877,0.012757572525364727,6,114
dark_triad,24,psychopathy,People who mess with me always regret it,0.8430704971134383,0.03156053351410008,6,113
dark_triad,25,psychopathy,I have never gotten into trouble with the law,0.6297710666136624,0.03768315484428929,6,113
dark_triad,26,psychopathy,I enjoy having sex with people I hardly know,0.7997625473885086,0.03427513939794804,6,113
dark_triad,27,psychopathy,I'll say anything to get what I want,0.9247701061997926,0.012117464940549627,6,113
gad7,1,anxiety,"Feeling nervous, anxious, or on edge",0.7940318982147069,0.05539513009356554,6,114
gad7,2,anxiety,Not being able to stop or control worrying,0.7409068604406435,0.07680633130023552,6,114
gad7,3,anxiety,Worrying too much about different things,0.7151658088785718,0.0698442137602776,6,114
gad7,4,anxiety,Trouble relaxing,0.5650599703652703,0.12786350015063314,6,114
gad7,5,anxiety,Being so restless that it is hard to sit still,0.6777056938357607,0.0391674790786478,6,114
gad7,6,anxiety,Becoming easily annoyed or irritable,0.7862562737355233,0.06883316660785344,6,114
gad7,7,anxiety,Feeling afraid as if something awful might happen,0.7130701362137998,0.060368317610117454,6,113
levenson,1,primary,Success is based on survival of the fittest; I am not concerned about the losers,0.9394121558774429,0.015136811274728879,6,114
levenson,2,primary,"For me, what's right is whatever I can get away with",0.9143199887873843,0.019584288220771746,6,114
levenson,3,primary,"In today's world, I feel justified in doing anything I can get away with to succ",0.9118056511968701,0.024268716147102885,6,113
levenson,4,primary,My main purpose in life is getting as many goodies as possible,0.8713946394869408,0.03744959739265723,6,113
levenson,5,primary,Making a lot of money is my most important goal,0.8476655267579178,0.027382956689175255,6,113
levenson,6,primary,I let others worry about higher values; my main concern is with the bottom line,0.8967767631033717,0.020132160314487096,6,113
levenson,7,primary,People who are stupid enough to get ripped off usually deserve it,0.7567712652112505,0.08235613044972628,6,113
levenson,8,primary,Looking out for myself is my top priority,0.9423444252323921,0.012691412549300075,6,113
levenson,9,primary,I tell other people what they want to hear so that they will do what I want them,0.8641732655036666,0.05358117067073187,6,113
levenson,10,primary,I would be upset if my success came at someone else's expense,0.935166596779378,0.02825629153129995,6,113
levenson,11,primary,I often admire a really clever scam,0.8835381808041455,0.03254281981488437,6,113
levenson,12,primary,I make a point of trying not to hurt others in pursuit of my goals,0.9578722927036054,0.011474360849832062,6,113
levenson,13,primary,I enjoy manipulating other people's feelings,0.9072729134154053,0.017623696806141537,6,113
levenson,14,primary,I feel bad if my words hurt someone,0.9397804402412642,0.015277721962012759,6,113
levenson,15,primary,"Even if I were trying very hard to sell something, I wouldn't lie about it",0.8658334005185768,0.046759566311322526,6,113
levenson,16,primary,Cheating is not justified because it is unfair to others,0.8963266010787353,0.03903025104701779,6,113
levenson,17,secondary,"I find myself in the same kinds of trouble, time after time",0.6933710209639142,0.12199777185997576,6,113
levenson,18,secondary,I am often bored,0.5464746873611147,0.07914372243135556,6,113
levenson,19,secondary,I find that I am able to pursue one goal for a long time,0.9182104485000039,0.015348541095428419,6,113
levenson,20,secondary,I don't plan anything very far in advance,0.9224682971004645,0.023202594541072295,6,113
levenson,21,secondary,I quickly lose interest in tasks I start,0.8654623464136536,0.05022326007607083,6,113
levenson,22,secondary,Most of my problems are due to the fact that other people just don't understand ,0.6732448391311906,0.09005756920285071,6,113
levenson,23,secondary,"Before I do anything, I carefully consider the possible consequences",0.9371959344793604,0.013579012825780239,6,113
levenson,24,secondary,I have been in a lot of shouting matches with other people,0.8794136330648391,0.032011877242334674,6,112
levenson,25,secondary,"When I get frustrated, I often let off steam by blowing my top",0.8557436608069403,0.05098342308405513,6,112
levenson,26,secondary,Love is overrated,0.6847497699994419,0.11882662980001961,6,112
phq9,1,depression,Little interest or pleasure in doing things,0.6558610801592092,0.14315129936853266,6,114
phq9,2,depression,"Feeling down, depressed, or hopeless",0.6692243044317853,0.07729058353647104,6,114
phq9,3,depression,"Trouble falling or staying asleep, or sleeping too much",0.5074807547628813,0.1647728367946331,6,114
phq9,4,depression,Feeling tired or having little energy,0.4058415610110954,0.11392759241519257,6,114
phq9,5,depression,Poor appetite or overeating,0.6351176798036725,0.0528534439699978,6,114
phq9,6,depression,"Feeling bad about yourself, or that you are a failure, or have let yourself or y",0.6800990828060139,0.08821925745426239,6,113
phq9,7,depression,"Trouble concentrating on things, such as reading the newspaper or watching telev",0.5544924280298201,0.09173287447728473,6,113
phq9,8,depression,Moving or speaking so slowly that other people could have noticed. Or the opposi,0.5294202666044002,0.09630420039117579,6,113
phq9,9,depression,"Thoughts that you would be better off dead, or of hurting yourself in some way",0.48314272653430174,0.13332077529916353,6,113
