instrument,input_system,provider1,provider2,correlation,p_value,n
bfi,scenario,deepseek,openai,0.9975492435775002,0.0,19
bfi,scenario,gemini,openai,0.9913565100846203,9.992007221626409e-16,19
dark_triad,behavioral,claude,deepseek,0.9851406467118575,9.847678228425139e-14,19
dark_triad,behavioral,claude,gemini,0.9749690581496515,7.930878176409806e-12,19
dark_triad,behavioral,claude,openai,0.9826485682705964,3.638200851696638e-13,19
dark_triad,behavioral,deepseek,gemini,0.972412004639374,1.7930879003813516e-11,19
dark_triad,behavioral,deepseek,openai,0.969785853115682,3.8401615221062e-11,19
dark_triad,behavioral,gemini,openai,0.9859949196313281,5.972999872483342e-14,19
dark_triad,exemplar,claude,deepseek,0.97201759823631,2.019595601865376e-11,19
dark_triad,exemplar,claude,gemini,0.9795955606213421,1.4241940959891508e-12,19
dark_triad,exemplar,claude,openai,0.9786211589493188,2.1084245460656348e-12,19
dark_triad,exemplar,deepseek,gemini,0.98630433087779,4.951594689828198e-14,19
dark_triad,exemplar,deepseek,openai,0.9922127711505742,4.440892098500626e-16,19
dark_triad,exemplar,gemini,openai,0.9856244277718383,7.4495964952348e-14,19
dark_triad,hexaco,claude,deepseek,0.9734437012032119,1.3026690837136812e-11,19
dark_triad,hexaco,claude,gemini,0.9439967074899933,6.512192451957333e-09,19
dark_triad,hexaco,claude,openai,0.9873309496744447,2.5646151868841116e-14,19
dark_triad,hexaco,deepseek,gemini,0.973196293624171,1.408007044290116e-11,19
dark_triad,hexaco,deepseek,openai,0.9769767376365963,3.930300529475517e-12,19
dark_triad,hexaco,gemini,openai,0.9746255212683318,8.891887226525341e-12,19
dark_triad,narrative,claude,deepseek,0.9696387770478841,3.9994452194491714e-11,19
dark_triad,narrative,claude,gemini,0.985082303733038,1.0180745135812685e-13,19
dark_triad,narrative,claude,openai,0.9734511914045051,1.2995937659354695e-11,19
dark_triad,narrative,deepseek,gemini,0.9829705799439773,3.107514245925813e-13,19
dark_triad,narrative,deepseek,openai,0.9842608285597707,1.5998313784848506e-13,19
dark_triad,narrative,gemini,openai,0.9805278739045772,9.607870055106105e-13,19
dark_triad,ocean_direct,claude,deepseek,0.9514669651981938,1.9924550898053894e-09,19
dark_triad,ocean_direct,claude,gemini,0.7946756143474006,0.00020635984709405086,19
dark_triad,ocean_direct,claude,openai,0.8422869539579215,2.7378624114504646e-05,19
dark_triad,ocean_direct,deepseek,gemini,0.8338676884068091,4.097206995956615e-05,19
dark_triad,ocean_direct,deepseek,openai,0.8702401146586408,5.926816465717799e-06,19
dark_triad,ocean_direct,gemini,openai,0.9445270977286896,6.020139386997414e-09,19
dark_triad,scenario,claude,deepseek,0.9967098238773113,0.0,18
dark_triad,scenario,claude,gemini,0.9943852074316172,2.220446049250313e-16,18
dark_triad,scenario,claude,openai,0.9896063748426875,3.341771304121721e-14,18
dark_triad,scenario,deepseek,gemini,0.9936075441953647,6.661338147750939e-16,18
dark_triad,scenario,deepseek,openai,0.993733373140691,5.551115123125783e-16,18
dark_triad,scenario,gemini,openai,0.9952659327041252,1.1102230246251565e-16,18
gad7,behavioral,claude,deepseek,0.942241318692342,8.40086289422004e-09,19
gad7,behavioral,claude,gemini,0.9347504001547059,2.2920483844224293e-08,19
gad7,behavioral,claude,openai,0.8885686655456826,1.7647815120369614e-06,19
gad7,behavioral,deepseek,gemini,0.9649021635940905,1.3436340928763002e-10,19
gad7,behavioral,deepseek,openai,0.9402213135842338,1.1152697654281951e-08,19
gad7,behavioral,gemini,openai,0.9237417629164845,8.216465630095371e-08,19
gad7,exemplar,claude,deepseek,0.8987756700425938,8.164842958402474e-07,19
gad7,exemplar,claude,gemini,0.8276073192575791,5.4502264854927596e-05,19
gad7,exemplar,claude,openai,0.9168050694248956,1.6700747507147895e-07,19
gad7,exemplar,deepseek,gemini,0.9318740769818911,3.265692749554461e-08,19
gad7,exemplar,deepseek,openai,0.9225850144336164,9.29051984233098e-08,19
gad7,exemplar,gemini,openai,0.8910442133273787,1.4743203524680837e-06,19
gad7,hexaco,claude,deepseek,0.8197259730490084,7.682150450794012e-05,19
gad7,hexaco,claude,gemini,0.8125629929679734,0.00010345746246953613,19
gad7,hexaco,claude,openai,0.9500265205105433,2.5388141589033353e-09,19
gad7,hexaco,deepseek,gemini,0.8815348171155646,2.876573011567629e-06,19
gad7,hexaco,deepseek,openai,0.8736570655560079,4.7978763406675284e-06,19
gad7,hexaco,gemini,openai,0.8554145015715032,1.3893392543207206e-05,19
gad7,narrative,claude,deepseek,0.9422572332932366,8.381791594125332e-09,19
gad7,narrative,claude,gemini,0.9762104846731012,5.174416450870467e-12,19
gad7,narrative,claude,openai,0.9290723267287391,4.5435562312512445e-08,19
gad7,narrative,deepseek,gemini,0.9675723100998193,6.937406205054231e-11,19
gad7,narrative,deepseek,openai,0.964458012356661,1.4923406954636675e-10,19
gad7,narrative,gemini,openai,0.9490491650095289,2.9804363421703783e-09,19
gad7,ocean_direct,claude,deepseek,0.9316358171336958,9.247642129839306e-08,18
gad7,ocean_direct,claude,gemini,0.9439858887056047,1.9766258185782704e-08,18
gad7,ocean_direct,claude,openai,0.8159339951577739,0.0001558077871731678,18
gad7,ocean_direct,deepseek,gemini,0.9643180872475317,5.824780657803785e-10,18
gad7,ocean_direct,deepseek,openai,0.8765701409477182,8.284766613630978e-06,18
gad7,ocean_direct,gemini,openai,0.8733435132652672,1.0045206388253902e-05,18
gad7,scenario,claude,deepseek,0.7474793066774841,0.000955051134292062,19
gad7,scenario,claude,gemini,0.8401051165116923,3.0461844599316557e-05,19
gad7,scenario,claude,openai,0.9073963459878199,3.981870163594081e-07,19
gad7,scenario,deepseek,gemini,0.9226193217344273,9.256985733507861e-08,19
gad7,scenario,deepseek,openai,0.8806459910789908,3.0529840765458616e-06,19
gad7,scenario,gemini,openai,0.9024892531365121,6.042058248167947e-07,19
levenson,behavioral,claude,deepseek,0.9916211431584004,7.771561172376096e-16,19
levenson,behavioral,claude,gemini,0.9904370677004097,2.3314683517128287e-15,19
levenson,behavioral,claude,openai,0.9939634249245206,0.0,19
levenson,behavioral,deepseek,gemini,0.997092313849028,0.0,19
levenson,behavioral,deepseek,openai,0.9927565380989276,2.220446049250313e-16,19
levenson,behavioral,gemini,openai,0.99180818001562,6.661338147750939e-16,19
levenson,exemplar,claude,deepseek,0.9704263588368803,3.2096103552703426e-11,19
levenson,exemplar,claude,gemini,0.9848842386366813,1.1368683772161603e-13,19
levenson,exemplar,claude,openai,0.9851404932519034,9.847678228425139e-14,19
levenson,exemplar,deepseek,gemini,0.970919250581888,2.788258512964603e-11,19
levenson,exemplar,deepseek,openai,0.9815967730004432,5.972999872483342e-13,19
levenson,exemplar,gemini,openai,0.9929703112997681,2.220446049250313e-16,19
levenson,hexaco,claude,deepseek,0.994462625363586,2.220446049250313e-16,18
levenson,hexaco,claude,gemini,0.9946361218484765,2.220446049250313e-16,18
levenson,hexaco,claude,openai,0.9962002559319953,0.0,18
levenson,hexaco,deepseek,gemini,0.9938522192471984,5.551115123125783e-16,18
levenson,hexaco,deepseek,openai,0.9951881468759655,1.1102230246251565e-16,18
levenson,hexaco,gemini,openai,0.9968355866850256,0.0,18
levenson,narrative,claude,deepseek,0.984353470896559,8.635314685534468e-13,18
levenson,narrative,claude,gemini,0.9883321687148036,8.393286066166183e-14,18
levenson,narrative,claude,openai,0.987752397434623,1.233457780358549e-13,18
levenson,narrative,deepseek,gemini,0.9860331792973455,3.504974088741619e-13,18
levenson,narrative,deepseek,openai,0.9874021830630203,1.5443202272535927e-13,18
levenson,narrative,gemini,openai,0.987438880694815,1.5087930904655877e-13,18
levenson,ocean_direct,claude,deepseek,0.97795563320467,2.728151038411397e-12,19
levenson,ocean_direct,claude,gemini,0.9778979661188512,2.7887692155559307e-12,19
levenson,ocean_direct,claude,openai,0.9794909341954936,1.4868106745780096e-12,19
levenson,ocean_direct,deepseek,gemini,0.9364959496902218,1.8342273255811392e-08,19
levenson,ocean_direct,deepseek,openai,0.9795594163538711,1.4455103780619538e-12,19
levenson,ocean_direct,gemini,openai,0.9595309822418285,4.4038828139747466e-10,19
levenson,scenario,claude,deepseek,0.9965480647695105,0.0,19
levenson,scenario,claude,gemini,0.9972685129412884,0.0,19
levenson,scenario,claude,openai,0.9928955616454633,2.220446049250313e-16,19
levenson,scenario,deepseek,gemini,0.9965924802125584,0.0,19
levenson,scenario,deepseek,openai,0.9918640866910395,5.551115123125783e-16,19
levenson,scenario,gemini,openai,0.9928444527725491,2.220446049250313e-16,19
phq9,behavioral,claude,deepseek,0.840652642815544,2.966142294480445e-05,19
phq9,behavioral,claude,gemini,0.7684016671103704,0.0005066276969255545,19
phq9,behavioral,claude,openai,0.9366762366544658,1.7918506012293278e-08,19
phq9,behavioral,deepseek,gemini,0.9212845053169045,1.0642440473329629e-07,19
phq9,behavioral,deepseek,openai,0.8803630363553312,3.1110733056394224e-06,19
phq9,behavioral,gemini,openai,0.8038168578253037,0.00014630530838710687,19
phq9,exemplar,claude,deepseek,0.7219576769255491,0.0019104414920534385,19
phq9,exemplar,claude,gemini,0.6452240437822,0.010292560535516082,19
phq9,exemplar,claude,openai,0.843301635429683,2.603858705252371e-05,19
phq9,exemplar,deepseek,gemini,0.8984464363170012,8.380981638689278e-07,19
phq9,exemplar,deepseek,openai,0.8966538597118139,9.647169196824734e-07,19
phq9,exemplar,gemini,openai,0.9026001944206155,5.986842425143024e-07,19
phq9,hexaco,claude,deepseek,0.8819677218298195,2.7938955158290923e-06,19
phq9,hexaco,claude,gemini,0.8336096186772367,4.146658898085409e-05,19
phq9,hexaco,claude,openai,0.8442388444918021,2.4851280228666006e-05,19
phq9,hexaco,deepseek,gemini,0.6922046916185726,0.003909098102149011,19
phq9,hexaco,deepseek,openai,0.9278995777120916,5.196235686177886e-08,19
phq9,hexaco,gemini,openai,0.6357100139931712,0.012268886169178761,19
phq9,narrative,claude,deepseek,0.7922248774460374,0.0002256219832260653,19
phq9,narrative,claude,gemini,0.7560774375434146,0.0007417591503059429,19
phq9,narrative,claude,openai,0.8965881296617699,9.696591031227442e-07,19
phq9,narrative,deepseek,gemini,0.9078445518405204,3.828635430913607e-07,19
phq9,narrative,deepseek,openai,0.8164110495067526,8.8311188846113e-05,19
phq9,narrative,gemini,openai,0.7267262291028223,0.0016884266688730332,19
phq9,ocean_direct,claude,deepseek,0.9441032039817134,1.944687610944129e-08,18
phq9,ocean_direct,claude,gemini,0.9594947973917446,1.5748506942969698e-09,18
phq9,ocean_direct,claude,openai,0.9047349900810685,1.1752866827530184e-06,18
phq9,ocean_direct,deepseek,gemini,0.9071748725643692,9.648250316462992e-07,18
phq9,ocean_direct,deepseek,openai,0.9171540656951893,4.04972674505899e-07,18
phq9,ocean_direct,gemini,openai,0.8310549299658079,8.386392203962867e-05,18
phq9,scenario,claude,deepseek,0.6897232740911226,0.004133335725873044,19
phq9,scenario,claude,gemini,0.7405878927437518,0.0011610012812208748,19
phq9,scenario,claude,openai,0.7224501371301976,0.001886449754070263,19
phq9,scenario,deepseek,gemini,0.6892628211754783,0.004176079516650444,19
phq9,scenario,deepseek,openai,0.9418450880308065,8.888088265379679e-09,19
phq9,scenario,gemini,openai,0.5639938523744238,0.038608689693451326,19
